State,2010 Population,2011 Population,2012 Population ,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population
Mississippi,2967297,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2949965,2940057
Missouri,5988927,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6168187,6177957
Montana,989415,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1104271,1122867
Nebraska,1826341,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1963692,1967923
Nevada,2700551,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3143991,3177772
New Hampshire,1316470,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1388992,1395231
New Jersey,8791894,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,9267130,9261699
New Mexico,2059179,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2115877,2113344
New York,19378102,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,19835913,19677151
North Carolina,9535483,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10551162,10698973
North Dakota,672591,685225,701176,722036,737401,754066,754434,754942,758080,762062,779094,774948,779261
Ohio,11536504,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11799448,11780017,11756058
Oklahoma,3751351,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3959353,3986639,4019800
Oregon,3831074,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4237256,4246155,4240137
Pennsylvania,12702379,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,13002700,12964056,12972008
Rhode Island,1052567,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1097379,1095610,1093734
South Carolina,4625364,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5118425,5190705,5282634
South Dakota,814180,823579,833566,842316,849129,853988,862996,872868,878698,884659,886667,895376,909824
Tennessee,6346105,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6910840,6975218,7051339
Texas,25145561,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29145505,29527941,30029572
Utah,2763885,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3271616,3337975,3380800
Vermont,625741,627049,626090,626210,625214,625216,623657,624344,624358,623989,643077,645570,647064
Virginia,8001024,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8631393,8642274,8683619
Washington,6724540,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,7705281,7738692,7785786
West Virginia,1852994,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1793716,1782959,1775156
Wisconsin,5686986,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5893718,5895908,5892539
Wyoming,563626,567299,576305,582122,582531,585613,584215,578931,577601,578759,576851,578803,581381
